,Road,enter_Q,time_needed,exit_Q,direction
0,2,13.979999999999746,2,14.949999999999726,RIGHT
1,1,14.979999999999725,2,16.909999999999844,RIGHT
2,1,18.22000000000005,2,19.470000000000244,STRAIGHT
3,0,19.020000000000174,3,20.950000000000475,LEFT
4,1,20.800000000000452,2,22.730000000000754,STRAIGHT
5,3,22.050000000000647,2,23.98000000000095,RIGHT
6,0,22.26000000000068,2,24.310000000001,STRAIGHT
7,1,23.890000000000935,3,26.55000000000135,LEFT
8,2,25.13000000000113,3,27.05000000000143,LEFT
9,3,25.440000000001177,3,27.400000000001484,LEFT
10,0,25.470000000001182,3,28.34000000000163,LEFT
11,2,28.500000000001656,3,30.45000000000196,LEFT
12,3,28.580000000001668,3,30.920000000002034,LEFT
13,0,29.67000000000184,2,37.0300000000012,STRAIGHT
14,1,31.550000000002132,3,37.0400000000012,LEFT
15,2,31.630000000002145,2,37.0500000000012,STRAIGHT
16,3,32.11000000000218,2,37.060000000001196,RIGHT
17,2,35.160000000001574,2,39.09000000000079,STRAIGHT
18,1,37.620000000001085,3,39.5400000000007,LEFT
19,0,38.34000000000094,2,42.550000000000104,STRAIGHT
20,1,40.76000000000046,2,42.93000000000003,STRAIGHT
21,3,41.21000000000037,3,46.17999999999938,LEFT
22,0,43.78999999999986,2,51.14999999999839,STRAIGHT
23,1,44.0899999999998,3,51.15999999999839,LEFT
24,3,47.619999999999095,2,51.16999999999839,STRAIGHT
25,1,49.0899999999988,2,54.48999999999773,STRAIGHT
26,2,49.21999999999878,3,54.499999999997726,LEFT
27,3,52.36999999999815,3,57.54999999999712,LEFT
28,0,52.37999999999815,2,60.84999999999646,RIGHT
29,2,52.589999999998106,2,60.85999999999646,STRAIGHT
30,1,55.859999999997456,2,61.02999999999643,STRAIGHT
31,3,58.88999999999685,3,63.11999999999601,LEFT
32,0,62.20999999999619,3,66.25999999999699,LEFT
33,3,64.26999999999597,3,69.48999999999864,LEFT
34,0,67.41999999999759,3,72.67000000000027,LEFT
35,3,70.7799999999993,2,75.81000000000188,RIGHT
36,0,73.92000000000091,2,78.03000000000301,RIGHT
37,3,77.0300000000025,2,80.3400000000042,RIGHT
38,0,79.26000000000364,2,82.54000000000532,STRAIGHT
39,3,81.58000000000483,2,84.6400000000064,RIGHT
40,2,83.42000000000577,2,85.35000000000676,STRAIGHT
41,0,83.71000000000592,2,88.12000000000818,STRAIGHT
42,3,85.73000000000695,3,90.25000000000927,LEFT
43,0,89.28000000000877,2,93.55000000001095,STRAIGHT
44,3,91.44000000000987,2,95.81000000001211,RIGHT
45,2,93.53000000001094,2,95.82000000001212,RIGHT
46,0,94.84000000001161,3,97.96000000001321,LEFT
47,3,97.09000000001276,2,101.10000000001482,RIGHT
48,2,99.08000000001378,3,101.11000000001482,LEFT
49,0,99.09000000001379,2,104.18000000001639,STRAIGHT
50,3,102.26000000001541,2,106.41000000001753,RIGHT
51,0,105.35000000001699,2,108.81000000001876,STRAIGHT
52,2,107.64000000001816,2,109.57000000001915,RIGHT
53,3,107.66000000001817,2,111.8300000000203,STRAIGHT
54,0,110.10000000001942,2,113.5800000000212,STRAIGHT
55,2,110.97000000001987,2,113.5900000000212,RIGHT
56,3,113.01000000002091,3,117.15000000002303,LEFT
57,0,115.17000000002201,2,121.37000000002519,STRAIGHT
58,2,117.01000000002296,2,121.38000000002519,RIGHT
59,3,118.39000000002366,2,125.54000000002732,STRAIGHT
