,Road,enter_Q,time_needed,exit_Q,direction
0,2,14.479999999999736,2,15.449999999999715,RIGHT
1,1,15.989999999999704,2,17.609999999999953,RIGHT
2,1,19.12000000000019,2,20.22000000000036,STRAIGHT
3,1,21.69000000000059,2,22.800000000000765,STRAIGHT
4,0,22.030000000000644,3,23.960000000000946,LEFT
5,1,24.18000000000098,3,26.10000000000128,LEFT
6,0,25.310000000001157,2,27.300000000001468,STRAIGHT
7,3,26.560000000001352,2,28.490000000001654,RIGHT
8,0,28.46000000000165,3,30.710000000002,LEFT
9,3,30.52000000000197,3,32.46000000000211,LEFT
10,2,31.070000000002057,3,33.000000000002004,LEFT
11,0,31.79000000000217,2,34.810000000001644,STRAIGHT
12,3,33.88000000000183,3,35.83000000000144,LEFT
13,2,35.0200000000016,3,36.93000000000122,LEFT
14,3,37.13000000000118,2,39.19000000000077,RIGHT
15,2,38.36000000000094,2,40.30000000000055,STRAIGHT
16,1,40.0700000000006,3,42.00000000000021,LEFT
17,3,40.42000000000053,3,42.640000000000086,LEFT
18,2,42.52000000000011,2,44.449999999999726,STRAIGHT
19,0,43.20999999999997,2,45.13999999999959,STRAIGHT
20,3,45.54999999999951,2,47.47999999999912,STRAIGHT
21,0,47.05999999999921,2,48.98999999999882,STRAIGHT
22,1,49.24999999999877,3,51.16999999999839,LEFT
23,0,50.189999999998584,2,52.47999999999813,RIGHT
24,1,52.489999999998126,2,54.509999999997724,STRAIGHT
25,3,55.26999999999757,3,57.18999999999719,LEFT
26,1,55.66999999999749,3,58.39999999999695,LEFT
27,3,58.51999999999693,3,60.50999999999653,LEFT
28,1,59.689999999996694,2,63.859999999995864,STRAIGHT
29,0,62.73999999999609,3,64.65999999999617,LEFT
30,1,65.0999999999964,2,68.01999999999789,STRAIGHT
31,0,65.99999999999686,3,68.0299999999979,LEFT
32,2,67.21999999999748,3,69.14999999999847,LEFT
33,1,69.18999999999849,3,72.89000000000038,LEFT
34,0,69.73999999999877,2,72.90000000000039,RIGHT
35,2,71.18999999999951,2,73.1200000000005,STRAIGHT
36,3,73.27000000000058,3,75.20000000000157,LEFT
37,1,74.64000000000128,3,80.37000000000421,LEFT
38,0,75.39000000000166,2,80.38000000000422,STRAIGHT
39,0,78.90000000000346,2,80.84000000000445,STRAIGHT
40,1,81.77000000000493,2,83.81000000000597,STRAIGHT
41,0,82.02000000000506,2,84.36000000000625,STRAIGHT
42,3,82.43000000000526,2,84.37000000000626,RIGHT
43,1,85.02000000000659,2,87.25000000000773,RIGHT
44,0,85.54000000000686,3,90.3300000000093,LEFT
45,3,86.26000000000722,2,90.34000000000931,RIGHT
46,1,88.32000000000828,3,91.28000000000979,LEFT
47,3,90.78000000000954,2,92.71000000001052,RIGHT
48,0,91.47000000000989,2,95.22000000001181,STRAIGHT
49,1,92.64000000001049,3,99.42000000001396,LEFT
50,3,94.11000000001124,3,99.43000000001396,LEFT
51,0,96.54000000001248,2,100.0800000000143,STRAIGHT
52,3,98.22000000001334,2,100.14000000001433,RIGHT
53,1,100.74000000001463,2,103.74000000001617,STRAIGHT
54,0,101.71000000001513,2,107.18000000001793,STRAIGHT
55,3,102.79000000001568,2,107.19000000001793,RIGHT
56,1,104.93000000001678,3,108.7000000000187,LEFT
57,3,106.11000000001738,2,108.71000000001871,RIGHT
58,0,108.56000000001863,2,112.50000000002065,STRAIGHT
59,1,110.49000000001962,2,114.92000000002189,RIGHT
60,0,113.62000000002122,2,118.87000000002391,STRAIGHT
61,3,114.03000000002143,2,118.88000000002391,STRAIGHT
62,1,116.30000000002259,3,120.00000000002449,LEFT
63,3,117.79000000002335,3,120.01000000002449,LEFT
64,2,118.2800000000236,2,120.21000000002459,STRAIGHT
65,0,120.17000000002457,2,125.9000000000275,STRAIGHT
66,3,121.12000000002506,2,125.91000000002751,STRAIGHT
67,1,121.75000000002538,2,128.27000000002832,STRAIGHT
68,0,127.13000000002813,2,133.020000000024,STRAIGHT
69,3,127.70000000002842,3,133.030000000024,LEFT
70,1,129.67000000002704,2,134.40000000002274,STRAIGHT
71,3,131.33000000002554,3,134.41000000002273,LEFT
72,2,133.28000000002376,2,135.19000000002202,RIGHT
73,0,134.3500000000228,2,140.02000000001763,STRAIGHT
74,3,134.4400000000227,3,140.03000000001762,LEFT
75,1,137.79000000001966,2,142.52000000001536,RIGHT
76,2,141.02000000001672,3,142.94000000001498,LEFT
77,0,141.24000000001652,2,147.91000000001046,STRAIGHT
78,3,142.5700000000153,3,147.92000000001045,LEFT
79,1,143.95000000001406,3,147.93000000001044,LEFT
80,1,148.72000000000972,3,151.02000000000763,LEFT
81,0,149.26000000000923,2,154.15000000000478,STRAIGHT
82,1,152.29000000000647,2,154.7800000000042,STRAIGHT
83,3,154.43000000000453,3,156.37000000000276,LEFT
84,0,155.3500000000037,2,159.77999999999966,STRAIGHT
85,1,155.9900000000031,2,163.5899999999962,STRAIGHT
86,2,158.90000000000046,2,163.5999999999962,RIGHT
87,3,160.8299999999987,3,163.60999999999618,LEFT
88,0,161.07999999999848,2,168.5399999999917,RIGHT
89,2,162.86999999999685,2,168.54999999999168,RIGHT
90,3,164.4699999999954,2,168.55999999999167,RIGHT
91,3,167.56999999999258,2,169.81999999999053,STRAIGHT
